#,Country,Continent,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),,
1,United States of America,North America,19687287,20.30%,934.3,5.19,1.37,289.97,, 
2,China,Asia,12791553,13.20%,138.7,5.42,1.43,302.87,,
3,India,Asia,4443000,4.60%,51.4,5.05,1.33,281.93,,
4,Japan,Asia,4012877,4.10%,481.5,4.69,1.24,262.05,,
5,Russia,Asia,3631287,3.70%,383.2,3.41,0.9,190.56,,
6,Saudi Arabia,Asia,3302000,3.40%,1560.2,2.35,0.62,131.34,,
7,Brazil,South America,2984000,3.10%,221.9,5.36,1.42,299.27,,
8,South Korea,Asia,2605440,2.70%,783.4,6.09,1.61,340.52,,
9,Canada,North America,2486301,2.60%,1047.6,6.76,1.79,377.74,,
10,Germany,Europe,2383393,2.50%,444.5,7.65,2.02,427.44,,
11,Mexico,North America,2052607,2.10%,255.1,4.36,1.15,243.44,,
12,Iran,Asia,1803999,1.90%,347.6,0.2,0.05,11.21,,
13,France,Europe,1705568,1.80%,404.3,8.27,2.19,462.13,,
14,Indonesia,Asia,1623000,1.70%,95.1,4.48,1.18,250.42,,
15,United Kingdom,Europe,1583896,1.60%,366.2,8.38,2.22,468.47,,
16,Singapore,Asia,1357000,1.40%,3679.5,8.71,2.3,486.87,,
17,Thailand,Asia,1302000,1.30%,289.4,5.7,1.51,318.73,,
18,Italy,Europe,1236628,1.30%,312.5,8.01,2.12,447.53,,
19,Spain,Europe,1290063,1.30%,424.1,8.35,2.21,466.57,,
20,Australia,Oceania,1114645,1.10%,704.3,5.22,1.38,291.45,,
21,Turkey,Europe,941861,1.00%,180.9,6.06,1.6,338.4,,
22,Taiwan,Asia,981203,1.00%,636.9,3.94,1.04,220.17,,
23,Netherlands,Europe,937098,1.00%,846,9.33,2.47,521.35,,
24,Egypt,Africa,877000,0.90%,142.3,1.97,0.52,110.19,,
25,Iraq,Asia,857000,0.90%,358.9,1.95,0.51,108.71,,
26,United Arab Emirates,Asia,896000,0.90%,1467.3,4.15,1.1,232.02,,
27,South Africa,Africa,640000,0.70%,174.6,5.59,1.48,312.6,,
28,Argentina,South America,709000,0.70%,249.8,3.96,1.05,221.23,,
29,Malaysia,Asia,708000,0.70%,353.7,1.76,0.46,98.14,,
30,Belgium,Europe,631522,0.70%,852.6,8.36,2.21,466.99,,
31,Pakistan,Asia,556000,0.60%,41.9,3.9,1.03,217.85,,
32,Poland,Europe,582161,0.60%,234.9,6.8,1.8,380.07,,
33,Venezuela,South America,598000,0.60%,307.1,0.08,0.02,4.65,,
34,Vietnam,Asia,478000,0.50%,78.3,5.38,1.42,300.75,,
35,Nigeria,Africa,428000,0.40%,35.3,1.57,0.42,87.98,,
36,Philippines,Asia,429000,0.40%,63.4,5.88,1.55,328.46,,
37,Colombia,South America,357000,0.40%,113.6,2.28,0.6,127.11,,
38,Algeria,Africa,429000,0.40%,162.2,1.18,0.31,66.2,,
39,Chile,South America,351989,0.40%,296.3,5.26,1.39,293.77,,
40,Hong Kong,Asia,408491,0.40%,864.5,11.35,3,634.29,,
41,Kuwait,Asia,359000,0.40%,1390.9,1.29,0.34,72.33,,
42,Ukraine,Europe,244000,0.30%,83.7,6.44,1.7,359.76,,
43,Morocco,Africa,275000,0.30%,120,6.36,1.68,355.53,,
44,Peru,South America,246000,0.30%,121.9,6.26,1.65,349.82,,
45,Ecuador,South America,259000,0.30%,240.8,4.43,1.17,247.46,,
46,Kazakhstan,Asia,325000,0.30%,279.4,1.8,0.48,100.46,,
47,Greece,Europe,296101,0.30%,427.6,9.49,2.51,530.02,,
48,Austria,Europe,262352,0.30%,459.8,8.07,2.13,450.92,,
49,Sweden,Europe,322109,0.30%,502,8.7,2.3,486.24,,
50,Romania,Europe,200000,0.20%,154.9,6.87,1.82,384.08,,
51,Cuba,North America,153000,0.20%,206.9,4.77,1.26,266.49,,
52,Hungary,Europe,155544,0.20%,244.5,7.6,2.01,424.48,,
53,Czech Republic (Czechia),Europe,179956,0.20%,259.8,7.56,2,422.15,,
54,Lebanon,Asia,153000,0.20%,349.3,5.41,1.43,302.23,,
55,Portugal,Europe,236866,0.20%,351.7,8.55,2.26,477.78,,
56,Turkmenistan,Asia,149000,0.20%,403.4,1.62,0.43,90.52,,
57,Switzerland,Europe,228194,0.20%,417.5,8.27,2.19,462.34,,
58,Denmark,Europe,158194,0.20%,424.6,10.04,2.65,561.11,,
59,Israel,Asia,236249,0.20%,446.6,7.94,2.1,443.73,,
60,Ireland,Europe,152404,0.20%,497.5,7.84,2.07,437.81,,
61,Libya,Africa,223000,0.20%,526.6,0.12,0.03,6.56,,
62,New Zealand,Oceania,166913,0.20%,549.2,7.82,2.07,436.75,,
